COD_ID;DIST;PAC_1;PAC_2;PAC_3;FAS_CON_P;FAS_CON_S;FAS_CON_T;SIT_ATIV;TIP_UNID;POS;ATRB_PER;TEN_LIN_SE;CAP_ELO;CAP_CHA;TAP;CONF;POSTO;POT_NOM;PER_FER;PER_TOT;DAT_CON;CTMT;UNI_TR_S;SUB;CONJ;MUN;BANC;TIP_TRAFO;MRT;DESCR;ARE_LOC;geometry;eu_dis_trs;dist_mar;main_r_dist;n_close_con;is_urb;closest_trd_i;closest_trd_dist;NODE;ENDNODE;g_degree;g_avg_ndeg;g_pagerank;dist_to_trs
3_1030138;46;173971;ET3_1030138;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;24/09/2010;1_SETMG_1;2_SETMG_1;SETMG;12743;2801702;0;T;0; ;NU;POINT (641092.1289635058 8726896.038048048);-1;30703.24134858348;6528.60656848086;13;False;4622;332.903774641941;17397;17749;2;2.0;1.2098335269066976e-05;24732.04
3_1030146;46;158611;ET3_1030146;ET3_1030146;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;24/09/2010;1_SETMG_1;2_SETMG_1;SETMG;12743;2801702;0;MT;0; ;NU;POINT (646426.8830233885 8729138.893122843);-1;26951.1028947751;9268.390467790081;5;False;6421;271.4351912613301;15861;17749;1;3.0;6.0924359863638305e-06;30719.570000000025
5_1050954;46;136411;ET5_1050954;ET5_1050954;AB;AN;BN;DS;38;O;1;0.23;05H;1;0.957;RA;PT;10.0;60.0;260.0;24/09/2010;6_SEEST_1;1_SEEST_1;SEEST;15602;2802106;0;MT;0; ;NU;POINT (669778.0449614429 8758006.782095838);-1;20375.08940697752;1748.9473904272984;0;False;7103;233.58380987701423;13641;13867;2;2.0;1.2298650934798037e-05;4649.250000000002
14_1140539;46;236891;ET14_1140539;ET14_1140539;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;2_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (627923.353001619 8710656.506088115);-1;35143.18673769012;7298.6099971497615;6;False;6442;279.7003503222534;23689;19980;2;2.0;1.2098335269066976e-05;47514.81999999999
14_1140548;46;236511;ET14_1140548;ET14_1140548;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;2_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (625439.9860326266 8711347.551068835);-1;37671.57143767364;4720.887916464757;1;False;6447;486.0864300113816;23651;19980;1;2.0;7.284332050909795e-06;48029.28999999999
14_1140555;46;220221;ET14_1140555;ET14_1140555;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;2_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (628524.5639671456 8715505.608098812);-1;36791.16695154128;6585.904445255513;1;False;6874;352.65221655798126;22022;19980;1;3.0;6.501160880077715e-06;51704.82999999994
14_1140449;46;280601;ET14_1140449;ET14_1140449;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;3_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (608015.1610270002 8730230.370083835);-1;61735.15925996298;3437.188205545287;12;False;6466;246.56104489304926;28060;30823;2;2.0;1.2098335269066976e-05;28038.839999999986
14_1140456;46;278491;ET14_1140456;ET14_1140456;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;3_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (607639.4450424963 8730222.888064161);-1;62067.21107702112;3668.2303672953376;1;False;6469;298.33478279529055;27849;30823;1;2.0;7.284332050909795e-06;29493.239999999987
6_1060448;46;318031;ET6_1060448;ET6_1060448;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;3_SETMG_1;2_SETMG_1;SETMG;12743;2807501;0;MT;0; ;NU;POINT (624364.2599902919 8740701.948103344);-1;51857.266175872;3427.5875319765196;1;False;6360;229.22101581632424;31803;30823;2;1.5;1.5546549857239642e-05;4822.0300000000025
5_1050525;46;25321;ET5_1050525;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;23/09/2010;2_SEEST_1;1_SEEST_1;SEEST;15602;2802106;0;T;0; ;UB;POINT (671087.336000684 8754191.726069726);-1;17369.7363313989;1005.7349956273106;143;True;5265;61.262226020572214;2532;2918;2;1.5;1.5546549857239642e-05;970.0500000000002
